City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Tarnos,FR,45.55,clear sky,43.5417,-1.4628,"The Originals City, Hôtel Le Lodge, Bayonne Nord (Inter-Hotel)"
336,Sebeta,ET,60.17,overcast clouds,8.9167,38.6167,Alem Hotel And Milto Cinema
337,Torbay,CA,39.38,light intensity drizzle,47.6666,-52.7314,Gallows Cove
341,Truro,GB,41.76,scattered clouds,50.2653,-5.0544,Mannings Hotel
342,Thunder Bay,CA,42.78,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
343,Estelle,US,75.99,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
345,Boyolangu,ID,74.73,overcast clouds,-8.1181,111.8935,Yos ega cv
346,Lagoa,PT,59.13,scattered clouds,39.05,-27.9833,Casa Das Faias
348,Nikolayevka,RU,51.85,light rain,53.1257,47.2041,"Hotel ""Prestige"""
349,Kuytun,RU,27.68,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
350,Osorno,CL,57.51,overcast clouds,-40.5667,-73.15,Sonesta Hotel Osorno
351,Pangnirtung,CA,22.01,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
352,Broken Hill,AU,49.71,few clouds,-31.95,141.4333,Royal Exchange Hotel
353,Marawi,PH,68.86,overcast clouds,7.9986,124.2928,Derogongan Residence
354,Jacareacanga,BR,76.41,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
356,Terney,RU,34.14,clear sky,45.0503,136.6092,"Hotel ""Ternay"""
